"id","name","code","evaluation_type","fees_term_id/id","company_id/id","lang"
"__export__.op_course_81_9121a794","Mestrado em Distúrbios da Linguagem e da Fala","BR-MTLP","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_82_537fabec","Mestrado em Psicologia Forense","BR-MTML","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_83_92c05e22","Mestrado em Educação Especial","BR-MTES","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_84_18da0bb6","Mestrado em Psicopedagogia Terapêutica","BR-MTPV","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_85_91eb3362","Mestrado em Intervenção em Dificuldades de Aprendizagem","BR-MTAP","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_86_35106037","Mestrado em Neuropsicologia Clínica","BR-MN","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_87_020714c2","Mestrado em Psicologia Clínica da Criança e do Adolescente","BR-MTMI","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_88_5d730129","Mestrado em Sexologia Clínica e Terapia de Casais","BR-MTMS","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_89_7a118714","Mestrado em Terapia Cognitivo-Comportamental","BR-MTMP","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_90_928a054e","Mestrado em Psicoterapia da Criança e do Adolescente","BR-MTPF","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_91_4cf74e81","Mestrado em Psico-Oncologia e Cuidados Paliativos","BR-MP","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_92_1a71cd1b","Graduação em Marketing Digital","BR-LTMD","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_93_3fea0928","Graduação em Contabilidade Pública","BR-LTCP","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_94_55449833","Graduação em Engenharia Industrial","BR-LTII","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_95_709273f8","Graduação em Criminologia","BR-LTCM","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_96_c53f5371","Graduação em Direito","BR-LTDC","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
"__export__.op_course_97_39970cbc","Graduação em Psicologia","BR-LTPS","Normal","__export__.op_fees_terms_3_c7c12456","__export__.res_company_8_50662d8b","pt_BR"
