"id","name",course_id/id,"start_date","coordinator/id",campus_id/id,"uvic_program","code","company_id/id","end_date","modality_id/id","students_limit","sepyc_program","expiration_days","date_diplomas","academic_year","generation","hours","credits","ects","practical_hours_total","independent_hours_total","theoretical_hours_total","hours_total","practical_hours_credits","independent_hours_credits","theoretical_hours_credits","credits_total","days_week","schedule","contact_class","type_practices/id","acknowledgments","reconeixements"
"op_batch_0001","MTPCCATATH201C","Maestría en Psicología Clínica y de la Salud",2020-11-13,0,0,0,"MTPCCATATH201C","base.main_company",2021-12-05,op_modality_0002,50,0,0,,"2020-2022",,2250,90,90,0,0,0,0,0,0,0,0,"Sábados","Sábados de 16 a 21h",,0,,
"op_batch_0002","DIC1INTONL201B",Diplomado en Evaluación e Intervención en Psicología Clínica,2021-07-05,Fermín Carrillo,0,0,"DIC1INTONL201B","base.main_company",2021-09-20,"op_modality_0003",100,0,0,,"2020-2021",,125,0,0,0,0,0,0,0,0,0,0,"L-V: 16:00h-21:00h","Lunes a viernes de 16:00h-21:00h",,0,,
"op_batch_0003",PGATONLELR201A,Especialidad en Atención Temprana,2019-08-20,0,0,0,"PGATONLELR201A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2021",,855,"53,4",0,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,,
"op_batch_0004","MTCPONLELR201A",Maestría en Psicooncologia y Cuidados Paliativos,2020-03-20,0,"op_campus_0026",0,"MTCPONLELR201A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2022",,1500,0,60,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,,
"op_batch_0005","MLONMX211A","Maestría en Psicología Forense",2019-06-27,0,0,0,"MLONMX211A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2022",,1350,84,0,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,,
"op_batch_0006","MTLPONLELR201A",Maestría en Patologías del Lenguaje y el Habla,2019-07-19,0,0,0,"MTLPONLELR201A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2022",,1345,"84,1",0,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,,
"op_batch_0007","PGAUONLELR201A",Especialidad en Trastornos Autistas,2019-09-05,0,0,0,"PGAUONLELR201A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2021",,753,"47,12",0,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,,
"op_batch_0008",MTPCONLELR201A,Maestría en Psicología Clínica y de la Salud,2019-07-12,0,0,0,"MTPCONLELR201A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2022",,2250,0,90,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,"Este máster tiene el reconocimiento de la Federación Iberoamericana de Asociaciones de Psicología (FIAP); El reconocimiento del Colegio de Psicólogos de Valencia; El reconocimiento por la Societat Catalana de Recerca i Teràpia del Comportament (SCRITC).","Aquest màster té el reconeixement de la Federació Iberoamericana d'Associacions de Psicologia (FIAP); El reconeixement del Col·legi de Psicòlegs de València; El reconeixement per la Societat Catalana de
Recerca i Teràpia del Comportament (SCRITC)."
"op_batch_0009","MTMPONLELR201A","Máster en Psicoterapia Cognitivo-Conductual",2019-09-05,0,0,0,"MTMPONLELR201A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2022",,1500,0,60,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,,
"op_batch_0010","MTMIONLELR201A","Máster en Psicología Clínica Infantojuvenil",2019-08-01,0,0,0,"MTMIONLELR201A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2020-2022",,0,0,0,0,0,0,0,0,0,0,0,"e-Learning",e-Learning,,0,,
"op_batch_0011","MTCPONLELR191A","Maestría en Psicooncologia y Cuidados Paliativos",2020-03-20,0,"op_campus_0026",0,"MTCPONLELR191A","base.main_company",2021-12-05,"op_modality_0002",0,0,0,,"2019-2021",,1450,0,58,0,0,0,0,0,0,0,0,"e-Learning","e-Learning",,0,,
